steps	episodes	elapsed	mean	median	stdev	max	min	low_con_average_q1	low_con_average_q2	low_con_average_q_func1_loss	low_con_average_q_func2_loss	low_con_average_policy_loss	low_con_q1_recent_variance	low_con_q2_recent_variance	low_con_policy_gradients_variance	low_con_policy_gradients_mean	low_con_policy_n_updates	low_con_q_func_n_updates	high_con_average_q1	high_con_average_q2	high_con_average_q_func1_loss	high_con_average_q_func2_loss	high_con_average_policy_loss	high_con_q1_recent_variance	high_con_q2_recent_variance	high_con_policy_gradients_variance	high_con_policy_gradients_mean	high_con_policy_n_updates	high_con_q_func_n_updates	final_x	final_y	final_z	state_reached_diff	state_reached_direction_diff	subgoals_mag_diff	subgoals_direction_diff
90913	113	2523.477335691452	-167.19472141458226	-122.27694452446902	156.21003165487485	-0.05910403090539476	-445.5013468935616	-468.8023	-469.52124	12.984141454696655	12.880061316490174	463.0952359008789	35645.05	36381.227	0.0	0.0	44207	88414	-4.0424156	-4.0369887	0.0019883436313830314	0.0021486500179162247	4.065918710231781	2.567226	2.5888038	0.0	0.0	4422	8844	-0.9637085324442741	-0.9915327649833535	-0.14537943340602855	1.6779273923421822	0.6176557165578893	0.0028892830364369458	0.9999990830519124
95901	120	2662.3707308769226	-160.15269921812504	-171.70870718831105	131.9360010702652	-0.08223326053094966	-369.2010933199295	-486.5105	-485.99384	12.4960196352005	12.154602947235107	483.3421701049805	34107.29	34025.76	0.0	0.0	46701	93402	-4.2499127	-4.248136	0.0030243491823785007	0.0028819719760213047	4.262459311485291	2.6302304	2.6838558	0.0	0.0	4671	9343	-1.0863664900040049	-0.02630011197407156	-0.17235587908574612	1.5916082538890604	0.5380170170000644	0.0018927910857803852	0.9999994975530302
100909	128	2796.416351556778	-155.14558685976613	-158.26076919367898	141.21859175881028	-0.06930069581817656	-327.31989789081894	-507.52567	-507.815	14.384968576431275	14.214649930000306	496.1109295654297	49906.914	51075.617	0.0	0.0	49205	98410	-4.4929743	-4.494331	0.0025842174416175114	0.002855926385964267	4.466202511787414	3.5543983	3.5661004	0.0	0.0	4921	9843	0.8960491577730483	-0.26482281895483584	-0.0997186915987407	1.6549464163435716	-0.3355003562307006	0.0032669070546124004	0.9999982709210478
105915	134	2943.4840199947357	-180.44434076660716	-195.8579486569691	101.20101085066811	-0.08004457939731531	-303.27496860522746	-512.38666	-513.193	14.77201609134674	14.553069891929626	506.95691284179685	40136.016	40475.742	0.0	0.0	51708	103416	-4.5920186	-4.5946164	0.005272035623202101	0.005379798653302714	4.705874962806702	2.6798873	2.6824703	0.0	0.0	5172	10344	-0.4415455643321343	0.6426876774147681	-0.45160377213550873	1.7154691385542409	0.7497420889384807	0.010155691221546075	0.9999923266204341
110920	139	3090.4337151050568	-219.16603127976256	-245.96910962389146	136.94849727065557	-0.08160351645846883	-453.8745404489495	-519.2063	-518.96515	15.902658543586732	15.476720867156983	521.6341250610352	34804.668	34601.855	0.0	0.0	54210	108421	-4.957308	-4.9608793	0.004324091562302783	0.007093654093332589	4.874716782569886	5.1633697	5.1353188	0.0	0.0	5422	10844	-0.024060435983866757	-0.8145838461065738	-0.10864000631910231	1.7156720944817225	-0.6886523653156089	0.005477155337072632	0.9999973208443176
115925	144	3231.0372474193573	-177.49204468801472	-131.72704878795273	185.90622889418682	-0.06072588881778356	-563.7855205412678	-543.2982	-543.14734	16.138195281028747	15.624039449691772	540.2161776733399	40872.74	41005.2	0.0	0.0	56713	113426	-5.209422	-5.2037425	0.007017526050331071	0.005168372320476919	5.113040299415588	4.7898946	4.790553	0.0	0.0	5672	11345	0.8782383538961944	0.1465943689140834	-0.44964533866691647	1.6918904428938524	0.25233141942943726	0.007029929529654739	0.9999919172781195
120061	150	3375.1095860004425	-304.2886962588558	-295.80785131762065	151.48566768584973	-141.44844757530635	-678.6094698283299	-548.0675	-548.1151	17.625676469802855	16.579344425201416	546.4262878417969	42487.523	42078.594	0.0	0.0	58781	117562	-5.245627	-5.2473593	0.006316328879911452	0.005534770453814417	5.22258975982666	4.4280114	4.4082828	0.0	0.0	5879	11759	-1.0855779046396512	-0.020494016625146272	-0.17301500903563083	1.7195695825467685	-0.5651764864470725	0.00249900163196448	0.9999992813125399
125066	155	3513.2232933044434	-148.9842479772774	-147.9356987470576	140.36522138393045	-0.09767773425170852	-445.23984601679945	-574.18835	-574.5842	17.86467098236084	17.261390652656555	565.1324530029297	49442.73	48299.54	0.0	0.0	61283	122567	-5.534891	-5.5339937	0.006533877304755151	0.00558782416395843	5.368397650718689	4.824163	4.8505836	0.0	0.0	6129	12259	-0.1593520475481489	0.9844473967851866	-0.3295244071989105	1.6697134976267463	0.8652598526130301	0.23793034499914859	0.9908147500201416
130589	165	3674.9553537368774	-226.7169239757468	-212.4999180628735	152.87098931279598	-0.08153704257083572	-555.3208668162331	-605.0465	-604.57806	16.852394518852233	16.475848445892336	582.6783123779297	111680.98	114798.336	0.0	0.0	64045	128090	-5.7704864	-5.777381	0.008706730769481509	0.010126097875181586	5.670147771835327	6.8028917	6.6609015	0.0	0.0	6405	12811	-0.6135898384115734	0.22559744432859596	-0.5942119156119858	2.000044093895872	-0.7751067094074515	1.9572017869314144	0.4411653590083645
135056	171	3812.172688484192	-172.99511104659908	-195.87997878354037	105.74211720067964	-0.06770453143733622	-312.1007627850042	-599.0545	-598.57886	18.24064588069916	17.589365339279176	596.7383563232422	63174.773	63399.805	0.0	0.0	66278	132557	-5.771752	-5.7779922	0.011054289205931126	0.008657796625047922	5.843360662460327	6.87455	6.829118	0.0	0.0	6629	13258	-0.6117599830397077	0.9880350727642762	-0.4705145108626678	1.7171671910322754	0.4867362731679807	0.000782680035233626	0.9999999207338288
